cancer	hugo_symbol	gene_cls	g12v_ach_000022	g12d_ach_000042	g12d_ach_000060	g12r_ach_000118	g12v_ach_000138	g12d_ach_000164	g12d_ach_000222	g12d_ach_000235	g12v_ach_000243	g12d_ach_000265	g12v_ach_000266	g12r_ach_000281	g12d_ach_000307	g12r_ach_000320	g12v_ach_000332	g12d_ach_000468	g12r_ach_000502	g12d_ach_000517	g12d_ach_000652	g12v_ach_001353	g12v_ach_001379	g12d_ach_001382	g12v_ach_001999
PAAD	MYBL2	3	-1.093	-0.900	-0.271	-0.361	-0.359	-0.274	-0.464	-0.550	-0.982	-0.486	-0.921	-0.781	-0.920	-0.592	-0.950	-0.484	-0.662	-0.448	-0.388	-0.829	-0.910	-0.150	-0.819
PAAD	NFS1	3	-1.664	-1.409	-1.494	-1.170	-1.504	-1.500	-1.298	-1.295	-1.286	-1.324	-1.377	-1.154	-1.250	-1.144	-1.461	-1.327	-1.281	-1.492	-1.142	-1.650	-1.473	-1.125	-1.357
PAAD	PREX1	3	-0.065	-0.252	-0.111	-0.258	-0.135	-0.063	0.156	-0.354	-0.119	-0.070	-0.193	-0.497	-0.051	-0.312	-0.145	-0.068	-0.245	-0.162	-0.114	-0.193	-0.163	0.141	-0.246
PAAD	PSMB8	3	0.062	0.215	0.014	0.197	-0.012	0.203	0.200	0.178	0.113	0.111	0.023	-0.079	0.190	-0.216	0.146	0.262	-0.019	0.207	0.302	NA	NA	NA	0.112
PAAD	PTPN1	3	-0.230	-0.268	-0.505	-0.706	-0.639	-0.063	-0.514	-0.290	-0.528	-0.192	-0.480	-0.463	-0.171	-0.680	-0.104	-0.388	-0.510	-0.251	-0.046	-0.447	-0.427	-0.096	-0.481
PAAD	RD3L	3	0.227	0.224	0.242	0.180	0.211	0.245	0.295	0.233	0.189	0.232	0.169	0.243	0.264	-0.122	0.180	0.251	0.112	0.208	0.421	0.248	0.044	0.310	0.214
PAAD	RRM2	3	-2.258	-1.743	-1.841	-1.794	-2.024	-1.647	-1.889	-1.890	-2.048	-1.676	-1.696	-1.605	-1.792	-1.714	-1.970	-1.867	-1.823	-2.031	-1.728	-1.934	-2.047	-1.597	-1.899
PAAD	S100A9	3	-0.153	0.063	0.024	-0.206	-0.037	0.029	-0.047	-0.128	-0.104	0.010	-0.016	-0.104	-0.020	-0.166	-0.060	-0.070	-0.091	-0.043	-0.015	-0.023	-0.250	0.053	-0.005
PAAD	SCAPER	3	-0.215	0.084	-0.078	0.136	-0.216	0.069	-0.177	0.038	-0.146	-0.091	0.011	-0.120	-0.013	0.058	-0.115	0.127	-0.018	0.018	0.123	-0.123	-0.042	0.100	-0.195
PAAD	SH3TC2	3	-0.117	0.041	0.103	-0.024	-0.044	0.066	0.052	0.007	-0.006	-0.008	-0.061	-0.022	0.018	-0.088	-0.047	-0.065	0.087	0.027	0.142	0.015	-0.032	0.165	-0.053
PAAD	SNX17	3	-0.271	-0.310	-0.155	-0.329	-0.393	-0.265	-0.139	-0.159	-0.313	-0.064	-0.346	-0.406	-0.303	-0.350	-0.315	-0.207	-0.259	-0.397	-0.039	-0.368	-0.508	-0.277	-0.381
PAAD	SPNS2	3	-0.152	-0.069	0.012	-0.131	-0.150	-0.175	0.076	-0.052	-0.129	-0.056	-0.162	0.037	0.097	-0.239	-0.224	-0.035	-0.060	-0.058	-0.030	-0.139	-0.154	0.108	-0.279
PAAD	STXBP2	3	-0.061	-0.011	0.051	-0.162	-0.144	0.020	0.034	-0.133	-0.147	-0.031	-0.059	-0.183	-0.036	-0.237	-0.023	0.034	-0.107	-0.086	-0.132	-0.051	0.036	0.118	0.111
PAAD	SYNPO2L	3	-0.351	-0.512	-0.285	-0.592	-0.242	-0.427	-0.306	-0.404	-0.498	-0.433	-0.340	-0.665	-0.292	-0.614	-0.370	-0.619	-0.486	-0.284	-0.112	-0.278	-0.208	-0.241	-0.394
PAAD	THADA	3	0.140	0.205	0.147	0.156	0.080	0.156	0.268	0.177	0.066	0.191	0.075	0.009	0.241	0.018	0.124	0.241	0.096	0.172	0.141	0.267	0.144	0.204	0.061
PAAD	TMED1	3	-0.166	-0.067	-0.070	-0.294	-0.179	-0.104	-0.169	-0.130	-0.268	-0.069	-0.040	-0.264	-0.212	-0.220	-0.120	-0.043	-0.244	0.015	-0.176	-0.114	-0.194	0.103	-0.057
PAAD	ULK3	3	-0.061	0.014	0.073	0.111	0.035	-0.027	0.144	0.010	-0.042	0.036	-0.018	0.140	-0.151	0.165	-0.051	0.097	0.061	-0.045	0.052	-0.035	-0.099	0.069	0.064
PAAD	ZSCAN31	3	0.036	0.073	-0.089	-0.154	-0.121	0.085	-0.023	0.023	-0.048	0.054	-0.049	-0.291	-0.076	-0.219	-0.033	0.038	-0.081	-0.053	0.100	-0.044	-0.004	0.122	-0.069
